J2,ansatz,D,inverse_D,old_inverse_xi,new_inverse_xi,delta_inverse_xi,abs_delta_inverse_xi,relative_delta_inverse_xi,old_correlation_length,new_correlation_length,delta_correlation_length,relative_delta_correlation_length,old_lambda_max_abs,old_lambda_second_abs,new_lambda_max_abs,new_lambda_second_abs,old_path,new_path
0.27,2tensor_twoC3,5,0.2,0.012284607869760067,0.012284607291764374,-5.779956929741203e-10,5.779956929741203e-10,-4.7050398279046517e-08,81.40267972749962,81.40268355752829,3.830028674656205e-06,4.7050400398088336e-08,0.0029595495511861034,0.0029234150489987516,0.002959549612464911,0.0029234151112190994,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_5\correlation_length.json
0.27,2tensor_twoC3,6,0.16666666666666666,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-0.0,inf,inf,0.0,nan,0.0039862739380965686,0.0039862739380965686,0.00398653494190391,0.00398653494190391,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_6\correlation_length.json
0.28,2tensor_twoC3,2,0.5,0.1889194514611972,1.562584866067221,1.3736654146060239,1.3736654146060239,7.271169823866261,5.293261187588158,0.6399652407467902,-4.653295946841368,-0.8790981177638835,3.7045771504887717,3.066845998199435,3.893985141779159,0.8161543603641277,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_2\correlation_length.json
0.28,2tensor_twoC3,3,0.3333333333333333,0.27514005156332755,0.47228802736360087,0.19714797580027332,0.19714797580027332,0.7165368134522458,3.6345126575286524,2.1173520014517093,-1.517160656076943,-0.41743166114286195,0.00495351458809603,0.003762024678771691,0.008666982034149997,0.005404503621066866,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_3\correlation_length.json
0.28,2tensor_twoC3,4,0.25,0.13692528249298103,0.1369254741332016,1.9164022058149044e-07,1.9164022058149044e-07,1.3995970436746345e-06,7.303253145022807,7.303242923425603,-1.0221597204207455e-05,-1.399595084715571e-06,0.007302810966816004,0.00636830953657134,0.007302813823134126,0.006368310806957195,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_4\correlation_length.json
0.28,2tensor_twoC3,5,0.2,0.05927043161821289,0.05927042012382043,-1.149439245867745e-08,1.149439245867745e-08,-1.9393131018039356e-07,16.871819095927005,16.871822367901622,3.2719746165810193e-06,1.9393134776859365e-07,5.2072198583692024e-05,4.9075540717159483e-05,5.207220153552311e-05,4.907554406321176e-05,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_5\correlation_length.json
0.28,2tensor_twoC3,6,0.16666666666666666,0.08970477354979443,0.08970468993672229,-8.36130721465489e-08,8.36130721465489e-08,-9.320916695713626e-07,11.147678773693215,11.14768916436142,1.0390668204962594e-05,9.320925383572185e-07,0.0011743901164939698,0.0010736286679352107,0.0011743886906239985,0.0010736274541726836,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p28\2tensor_twoC3\D_6\correlation_length.json
0.29,2tensor_twoC3,2,0.5,0.6112347784708538,0.0,-0.6112347784708538,0.6112347784708538,-1.0,1.6360325610099165,inf,nan,nan,1.1339645698922853,0.6153803068748303,0.5877608446572447,0.5877608446572447,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_2\correlation_length.json
0.29,2tensor_twoC3,3,0.3333333333333333,0.8514756770955628,0.8514756824087826,5.3132197530558756e-09,5.3132197530558756e-09,6.2400135388242714e-09,1.1744316683373306,1.174431661008861,-7.328469608935961e-09,-6.240013622343002e-09,0.007284440733992799,0.003108887639663425,0.007284441692281397,0.0031088880321281033,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_3\correlation_length.json
0.29,2tensor_twoC3,4,0.25,0.7022217860867048,0.7022219368000536,1.5071334880101261e-07,1.5071334880101261e-07,2.1462357304648436e-07,1.4240515173599697,1.4240512117250104,-3.0563495934110563e-07,-2.146235270390486e-07,0.0050464769938480805,0.0025004446817744144,0.005046475054051038,0.002500443343787307,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_4\correlation_length.json
0.29,2tensor_twoC3,5,0.2,0.47806898281542387,0.4796888161694942,0.0016198333540703436,0.0016198333540703436,0.003388283725354631,2.091748337469714,2.084684833774941,-0.007063503694773043,-0.0033768420264731367,0.00935757186525111,0.0058015020485609765,0.009359552378226171,0.005793338079049934,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_5\correlation_length.json
0.29,2tensor_twoC3,6,0.16666666666666666,0.1881538759422535,0.18815365964155759,-2.1630069590994339e-07,2.1630069590994339e-07,-1.1495946858747064e-06,5.314798831499549,5.314804941371066,6.109871517168131e-06,1.1495960074643606e-06,0.00030708225992540056,0.0002544137257405313,0.0003070822291060573,0.00025441375523696584,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p29\2tensor_twoC3\D_6\correlation_length.json
0.3,2tensor_twoC3,2,0.5,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,nan,inf,inf,0.0,nan,1.4156860995212244,1.4156860995212244,0.7151373989701516,0.7151373989701516,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_2\correlation_length.json
0.3,2tensor_twoC3,3,0.3333333333333333,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,nan,inf,inf,0.0,nan,0.00367894362116753,0.00367894362116753,0.003678936641800055,0.003678936641800055,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_3\correlation_length.json
0.3,2tensor_twoC3,4,0.25,0.02948707675094383,0.029486946484575005,-1.3026636882379483e-07,1.3026636882379483e-07,-4.417744421532909e-06,33.91316163505397,33.91331145539646,0.00014982034249300114,4.417763937943815e-06,0.0032435694842015304,0.00314932246520158,0.0032435694629224378,0.003149322854791611,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_4\correlation_length.json
0.3,2tensor_twoC3,5,0.2,0.14609485144157383,0.1467819311026448,0.0006870796610709828,0.0006870796610709828,0.004702969709687267,6.844868180723805,6.812827658608051,-0.03204052211575359,-0.0046809553186114815,0.00011642033469886444,0.00010059598691044796,0.00011644360036632113,0.00010054698268403001,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_5\correlation_length.json
0.3,2tensor_twoC3,6,0.16666666666666666,0.5931600373936827,0.5944715068758121,0.001311469482129346,0.001311469482129346,0.0022109875909575452,1.6858856580998829,1.682166409043562,-0.003719249056320928,-0.002206109909323741,0.0026349866903004975,0.0014560366096773097,0.002643432257107136,0.0014587890347146494,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p3\2tensor_twoC3\D_6\correlation_length.json
