path,branch,replica,field,J2,D,chi,energy_per_site,chi_energy_shift,G0,G1,G2,delta,middle_fraction,clock_z6,texture,hours_budget
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.04,0.3,6,72,-0.4311579213367,3.971765000221339e-07,-0.5368152581851501,-0.11588662634890001,-0.3067296937326,0.42092863183625007,0.5466141931206479,-0.10478064733365332,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.02,0.3,6,72,-0.4271963599363,7.851152999949207e-07,-0.51204464618295,-0.14309998414025002,-0.31326461198960004,0.36894466204269993,0.5387800790849877,-0.08719685679226452,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.01,0.3,6,72,-0.4254324901232,5.338583999869861e-07,-0.4995559712054,-0.16437768944470002,-0.3090142333156,0.33517828176069997,0.5684787716223123,-0.15375611575917017,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,6,72,-0.4238938710936,4.924991999777362e-07,-0.49386282947515,-0.2406252237462,-0.243293600527,0.25323760572895,0.9894629521033457,-0.984029054009331,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p08\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.08,0.3,7,91,-0.4585553501189,1.4071999676623648e-09,-0.66986591930565,-0.1170055737134,-0.1170004908251,0.55286542848055,0.9999908062829792,-0.999986209297683,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p04\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.04,0.3,7,91,-0.4384930406305,2.9778299992511137e-08,-0.6084995963791,-0.16709166044215,-0.1670795180266,0.44142007835249997,0.9999724923805114,-0.9999587374357842,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p02\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.02,0.3,7,91,-0.4304338332044,6.617507999906458e-07,-0.56065864916875,-0.1998003263526,-0.199880575552,0.36085832281614993,0.9997776157723793,-0.9996663494874501,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p01\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.01,0.3,7,91,-0.4270718215232,4.935298000274813e-07,-0.529494693068,-0.21938958315239998,-0.21932135904475,0.31017333402325,0.9997800452193455,-0.9996699952695014,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,7,91,-0.4242753728965,4.3818000006190516e-08,-0.48946517036699994,-0.24312316398794998,-0.2426497273095,0.24681544305749994,0.9980818190604885,-0.9971172165213472,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p08\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.08,0.3,7,91,-0.4537251689574,1.255126099997117e-06,-0.023095957925785,-0.4531535584699,-0.4514448288004,0.430057600544115,0.003973257692314057,0.9940164960214266,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p04\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.04,0.3,7,91,-0.4374133307641,2.658884000195094e-07,-0.059304968273685,-0.44731662806670003,-0.44081439685709994,0.38801165979301505,0.016757824270200287,0.9744467325938359,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p02\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.02,0.3,7,91,-0.4302397764655,3.628954000078899e-07,-0.09370447483340999,-0.436299065692,-0.43045898627235,0.34259459085859,0.017046618876888638,0.973999144391473,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p01\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.01,0.3,7,91,-0.4270064877277,2.3278229999146305e-07,-0.11954887390245,-0.43065612307900003,-0.41763110485000005,0.31110724917655,0.04186664972762633,0.9346441854179932,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,7,91,-0.4242746696872,2.532282999956337e-07,-0.19895399863415,-0.47552247928280006,-0.30134170550735,0.27656848064865003,0.6297925684334494,-0.28984677898374706,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p08\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.08,0.3,7,91,-0.4406175919225,3.859900010727557e-09,-0.5753903711033,-0.2836024979551,-0.081339239502445,0.49405113160085506,0.5906025803497927,-0.20311206482790378,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p04\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.04,0.3,7,91,-0.4314486953187,2.648800012661212e-09,-0.53441601852165,-0.30710962280955,-0.11622526780940001,0.41819075071225,0.5435471619708435,-0.09789853354231036,three-distinct/mixed,26.0
