J2,D,branch,replica,field,status,chi,hours_budget,stage_directory
0.3,11,plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_1\plaquette\replica_1\h_0p08
0.3,11,plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\plaquette\replica_1\h_0p04
0.3,11,plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\plaquette\replica_1\h_0p02
0.3,11,plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\plaquette\replica_1\h_0p01
0.3,11,plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\plaquette\replica_1\h_0p0
0.3,11,dimer-plaquette,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_1\dimer-plaquette\replica_1\h_0p08
0.3,11,dimer-plaquette,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\dimer-plaquette\replica_1\h_0p04
0.3,11,dimer-plaquette,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\dimer-plaquette\replica_1\h_0p02
0.3,11,dimer-plaquette,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\dimer-plaquette\replica_1\h_0p01
0.3,11,dimer-plaquette,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\dimer-plaquette\replica_1\h_0p0
0.3,11,rank-split,1,0.08,checkpoint_only,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_1\rank-split\replica_1\h_0p08
0.3,11,rank-split,1,0.04,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\rank-split\replica_1\h_0p04
0.3,11,rank-split,1,0.02,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\rank-split\replica_1\h_0p02
0.3,11,rank-split,1,0.01,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\rank-split\replica_1\h_0p01
0.3,11,rank-split,1,0.0,not_yet_observed,,,models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_11\orientation_unknown\rank-split\replica_1\h_0p0
