J2,target_D,seed_D,seed_relative_path,sha256,G0,G1,G2,middle_fraction,clock_z6,seed_texture,orientation,source_path
0.31,8,8,seeds/J2_0p31/D_8/tensor_best.pt,378cbfe33ad5c962ed294f97189b2e48a567d1cb2f2ce7cafd9c9ddeae6a385f,-0.4803758804273,-0.24219511181975,-0.2436993647546,0.993684406412641,-0.990467031443749,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_8\tensor_best.pt
0.31,9,9,seeds/J2_0p31/D_9/tensor_best.pt,0513b5f40f1cc55d4c63787649a7c5b6e98f6e729262b13f3a157b305474fb08,-0.36884484087815,-0.4145864980613,-0.18423776793985,0.198575686347535,0.650818312339977,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_9\tensor_best.pt
0.31,10,10,seeds/J2_0p31/D_10/tensor_best.pt,44dac56711abbd559db21c67fa8a4284efcd5535cec681b012b70dc1ce6479c3,-0.3538727644928,-0.4192060612416,-0.19431691854575,0.290513343443884,0.462151726705625,three-distinct/mixed,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_10\tensor_best.pt
0.31,11,11,seeds/J2_0p31/D_11/tensor_best.pt,4273021486d8d0884256314019b3aced8d486079b3cfbf09d9c477bb075c8437,-0.20110214787485,-0.34906714931265,-0.4171165234411,0.315022432882388,0.409870204031542,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p31\2tensor_twoC3\D_11\tensor_best.pt
0.32,6,6,seeds/J2_0p32/D_6/tensor_best.pt,ed016066968a5ab7b2151f7e64eb00840ad13d64390ba63454728cbdb9491b01,-0.2264824805883,-0.50253964679905,-0.23324976602195,0.975485927329691,-0.962342212837128,dimer-plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_6\tensor_best.pt
0.32,7,7,seeds/J2_0p32/D_7/tensor_best.pt,f1dc7d484c8f9883ec97789d5cb7725b5d030faa3f8f26ac44fc69d7a526d577,-0.23141334853875,-0.2302595585583,-0.49758963584455,0.995684024812462,-0.993498176152404,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_7\tensor_best.pt
0.32,8,8,seeds/J2_0p32/D_8/tensor_best.pt,ee0698d0d7f08b7cab8d72567ee2979c9a4928544c6ebfb373168592e560473d,-0.15469241739945,-0.40562073761465,-0.3985363438361,0.0282327390247312,0.956477764098504,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_8\tensor_best.pt
0.32,9,9,seeds/J2_0p32/D_9/tensor_best.pt,241828f2ecb420a74c4c5f0f28739b7623f1f6215fcce9e598a2e5de3c3c5d9b,-0.4069294340482,-0.38078973374865,-0.17079049311545,0.110696271425196,0.816931531073315,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_9\tensor_best.pt
0.32,10,10,seeds/J2_0p32/D_10/tensor_best.pt,d122fc56935cd01d1aadf9cbd8ea9a42defd1f473bb7d65c2ccbbd78aa6a061c,-0.17912094082035,-0.36501037396245,-0.4141941795155,0.209227582969719,0.629653537974127,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_10\tensor_best.pt
0.32,11,11,seeds/J2_0p32/D_11/tensor_best.pt,f474e11d64460444bc00107928080d4aec155e494ba927040213adedf47fbe91,-0.41423770971505,-0.17934738492205,-0.3641439897337,0.213264296967088,0.621580678329825,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p32\2tensor_twoC3\D_11\tensor_best.pt
0.33,6,6,seeds/J2_0p33/D_6/tensor_best.pt,bc42b32f942924728bd2bf9313bf7bbf3a38576c9ded0e1def1f881eb7018a61,-0.2281304527665,-0.21959950200775,-0.5066889628056,0.970284695456804,-0.954128782792891,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_6\tensor_best.pt
0.33,7,7,seeds/J2_0p33/D_7/tensor_best.pt,b70fd62caa8884fc87ba4566477994d310caae4aaf506ab3fee5b89a3918d213,-0.5009690401376,-0.2257476513866,-0.2243294574219,0.994873495864988,-0.992270956960397,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_7\tensor_best.pt
0.33,8,8,seeds/J2_0p33/D_8/tensor_best.pt,abc5d086407e5c4c08fe544a21e6ec7fee3fabad8b7ce2b1bab144f5a89a9492,-0.22990108850385,-0.2322909111769,-0.4866812438832,0.990693117739105,-0.985910555666592,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_8\tensor_best.pt
0.33,9,9,seeds/J2_0p33/D_9/tensor_best.pt,0af2db9a35dbe9a72dc25c13c74fc5bed7c780a2030b1b5317c8eda46b0e0e1a,-0.3975463872409,-0.15236016820875,-0.39843162405215,0.0035974786600742,0.994584415788863,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_9\tensor_best.pt
0.33,10,10,seeds/J2_0p33/D_10/tensor_best.pt,ae504cdc8fd5541a5ddcccbc75ea1273a1bc2b923b89e12c331471c5445f6530,-0.4246822029708,-0.1695134265367,-0.3547075249859,0.274228998401659,0.496476631020864,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_10\tensor_best.pt
0.33,11,11,seeds/J2_0p33/D_11/tensor_best.pt,82351f50785f24f2e66d937720f74af33e449e0fed36e96771a1f7ae0ef6cece,-0.1789249144639,-0.3388510698987,-0.4306347306154,0.36464076816717,0.302078203312809,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p33\2tensor_twoC3\D_11\tensor_best.pt
0.34,6,6,seeds/J2_0p34/D_6/tensor_best.pt,f058eef116410326bf36b7e820fc4a4a1ca63bc576066d6c2a5eb6655781b0b1,-0.24548368324765,-0.19182351170985,-0.50954802561725,0.831111012248054,-0.708698586480572,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_6\tensor_best.pt
0.34,7,7,seeds/J2_0p34/D_7/tensor_best.pt,4391cc44661c9606cc9c2f0680ef96ab8ff1a6bb61ec7181dde8d73127c062d3,-0.22070138535565,-0.50358174397345,-0.21844383962435,0.992082617930249,-0.988030395787727,dimer-plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_7\tensor_best.pt
0.34,8,8,seeds/J2_0p34/D_8/tensor_best.pt,9038848583668620c29a032d4bff9a8f8a44b2d7b7ceaba488eaaf66b3fce192,-0.22585197480405,-0.22624696512055,-0.48798774389165,0.998493184208035,-0.997736373992522,dimer-plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_8\tensor_best.pt
0.34,9,9,seeds/J2_0p34/D_9/tensor_best.pt,0f344d7efa33352621f0fec2953fbd6a06b784050d665ff6c77ca300f3613a1d,-0.4049450390918,-0.1453859140797,-0.3892832724982,0.060339880529609,0.904248518974457,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_9\tensor_best.pt
0.34,10,10,seeds/J2_0p34/D_10/tensor_best.pt,17e237447f4b0ecd9a6e55c72fd8a23c4948b879cc26b4ff99fde6cd098b92cb,-0.37385570516245,-0.15213903879825,-0.41270000941715,0.149079519324919,0.746356914442024,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_10\tensor_best.pt
0.34,11,11,seeds/J2_0p34/D_11/tensor_best.pt,be0512d0bc21a81455c53903900842238d81080aab40841320d4e0dba070e134,-0.3117745085918,-0.44541582016285,-0.1815494058581,0.506473368060788,-0.0145648068735592,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p34\2tensor_twoC3\D_11\tensor_best.pt
